Episode,Reward
1,23.396566709215236
2,23.410090147091015
3,23.403266606828993
4,23.212151972909677
5,22.08239035708373
6,21.315998594218573
7,21.948261549534276
8,22.403361076911615
9,22.775126536722833
10,23.055493651333403
11,23.57835493312297
12,24.076440968863682
13,24.486934553555407
14,24.792852723865206
15,25.214743991568252
16,26.25861892690376
17,27.163283677286294
18,27.82602699348756
19,28.537478139124147
20,28.81243523183458
21,28.65715449897197
22,28.601268702940526
23,28.59070967117499
24,28.523525250855926
25,28.376563249820236
26,28.421874540269187
27,28.351136826625254
28,28.20785931096401
29,28.251581989165032
30,28.150570338980568
31,28.074298036779503
32,27.979266813504523
33,27.92348588540148
34,27.94375875886651
35,28.079095719336827
36,28.364545272844055
37,28.38165481676693
38,28.124490600031265
39,28.016094920049067
40,27.880705851674396
41,27.499355069810626
42,27.123203595801147
43,26.850362805245087
44,26.59532105419015
45,26.298951970652475
46,25.614260752254847
47,24.94806208988244
48,24.43373820198865
49,23.809416685811534
50,23.590004192218213
51,23.516775325677433
52,23.498667028873047
53,23.457820325461814
54,23.434361326699452
55,23.475935809405723
56,23.36869134051567
57,23.5299223897224
58,23.572817672549856
59,23.459751128998985
60,23.645223756906226
61,23.92102314611862
62,23.939840280429106
63,24.323138603299146
64,24.313943852256486
65,24.247251892900227
66,24.30778116292997
67,24.227141533518292
68,24.356138452562167
69,24.380841729925084
70,24.49850566959767
71,24.898030574273093
72,24.949865512079096
73,24.8769154425815
74,25.33502407801709
75,25.871476835305987
76,25.96874610554547
77,26.392688598653763
78,26.441012499027998
79,26.775263627444122
80,26.83884607643977
81,27.185403730403653
82,27.105785658738803
83,27.37462254426858
84,27.497111644266315
85,27.64257664955218
86,27.64265912840085
87,27.70960038174532
88,27.865990781896354
89,27.847341952467705
90,27.62277063530887
91,27.55365306301285
92,27.676364182907335
93,27.564568131343623
94,27.630566106642934
95,27.73724267924668
96,27.513706567229345
97,27.302885592812565
98,27.255610300539704
99,27.282221226975825
100,27.43409377138931
101,27.338025731974085
102,27.608314370572067
103,27.801086362609077
104,27.7586072455404
105,27.496519254774853
106,27.790287255307412
107,27.469489373419957
108,27.61416495610126
109,27.194053035993647
110,27.05653825409054
111,26.89827700454907
112,26.962792655440957
113,26.620078616711222
114,26.47395984332743
115,26.267218671594357
116,26.09778155006823
117,25.73487162807121
118,25.305559318202754
119,25.738173471540733
120,25.712610670823437
121,25.801945699937207
122,26.069832392918116
123,25.863701300416015
124,26.071294603041192
125,26.320269685549366
126,26.356389333055283
127,26.688434969490444
128,27.077628421918757
129,27.33829711328928
130,26.956100055401073
131,26.957444710993453
132,26.7885910844979
133,26.568146002895542
134,26.074774026163436
135,25.70263077631126
136,25.47582026089345
137,25.505761931687495
138,25.426599447712558
139,25.40233467766126
140,25.279803301333494
141,25.169858729561714
142,25.033271721823503
143,25.399985500981114
144,25.24223329969543
145,25.313933249994125
146,26.021192784442135
147,26.294354713968172
148,26.487878613375155
149,26.07027490096511
150,26.281824770358778
151,26.030245987078366
152,25.737670186535514
153,25.95247767056262
154,26.570821810266484
155,26.526904032515738
156,26.54923142498489
157,26.52333919379618
158,26.257089207997094
159,26.325685881331914
160,26.562153499034277
161,26.63792518249703
162,26.588102852252465
163,26.958548535842656
164,27.156410990175974
165,27.73637470271336
